geolocation_city,geolocation_lat,geolocation_lng,count
sao paulo,-23.530246910352588,-46.57565256492024,36
sao paulo,-23.596805324652923,-46.5772172155577,35
sao bernardo do campo,-23.719060962230994,-46.54459211961032,35
goiania,-16.717211148326076,-49.26568051004018,35
votorantim,-23.54842011019098,-47.47388699639333,35
osasco,-23.56691312237492,-46.81048705669247,35
sao paulo,-23.47846082653355,-46.74780027254892,35
rio de janeiro,-23.004488711597983,-43.3686462106257,35
sao paulo,-23.690783462663788,-46.69986552954592,34
sao paulo,-23.61932598043226,-46.700108809095255,34
rio de janeiro,-22.850412639930923,-43.31380787108773,34
guarulhos,-23.44882911508982,-46.54826575660677,34
sao paulo,-23.54608112703553,-46.64482029837157,34
sao paulo,-23.527039610046742,-46.47442110837331,34
sao paulo,-23.585302374488748,-46.76573031099623,34
sao paulo,-23.534811000000005,-46.68102,34
sao bernardo do campo,-23.688917125468198,-46.552552123595405,34
taboao da serra,-23.60978638462481,-46.75740105595065,33
cotia,-23.621550098587694,-46.926832851656805,33
rio de janeiro,-22.88300855130404,-43.343404671713415,33
casa nova,-9.179158499999993,-40.97013075,33
sao paulo,-23.55560168137229,-46.73759748335157,33
sao paulo,-23.690463604480296,-46.67813381554541,33
rio de janeiro,-22.91334877214489,-43.22278866651289,33
brasilia,-15.832334737539538,-48.03880152367143,33
rio de janeiro,-23.00919810587085,-43.42946134406149,33
ferraz de vasconcelos,-23.531737416259077,-46.39234501640655,33
sao paulo,-23.504335656108086,-46.63613983810171,33
goiania,-16.70908219313096,-49.26494934876729,33
rio de janeiro,-22.90435733360268,-43.17509512406944,33
sao paulo,-23.48018497085809,-46.64439758021234,32
sao jose do vale do rio preto,-22.16464286437637,-42.93817598820664,32
sao jose do rio preto,-20.773647,-49.3497,32
sao paulo,-23.50040175797796,-46.72367775797796,32
niteroi,-22.907604457257733,-43.0635081151227,32
alta floresta,-10.026614999999946,-56.478900499999966,32
osasco,-23.509647981958324,-46.78463018298604,32
rio de janeiro,-22.906590380518196,-43.1771380505222,32
osasco,-23.515672369520495,-46.80289488673036,32
sao paulo,-23.66336209576426,-46.682048105747576,32
rio de janeiro,-22.927725838190312,-43.17937284736557,32
sao paulo,-23.468540877604,-46.66436133472787,32
niteroi,-22.863458605789887,-43.09742245879604,31
sao paulo,-23.66970108298231,-46.67637683360268,31
sao paulo,-23.57905316467664,-46.769003873293386,31
rio de janeiro,-22.93192720349311,-43.24664989544985,31
rio de janeiro,-22.840241762969622,-43.275469660857375,31
rio de janeiro,-23.01048058728148,-43.332041404524205,31
sao paulo,-23.624703752404614,-46.586391181642696,31
barueri,-23.5105249691296,-46.86104614786531,31
curitiba,-25.436332521712863,-49.2405603754809,31
sao paulo,-23.660297088262432,-46.6795114173348,31
sao paulo,-23.601201453517177,-46.54908781571352,31
sao jose do rio preto,-20.86653483963913,-49.41332476922104,31
rio de janeiro,-22.99668856417454,-43.34830434928281,31
rio de janeiro,-23.00373619547281,-43.32184116956918,31
santo andre,-23.69470364807545,-46.51149665000868,31
santo andre,-23.699180328019416,-46.52401723439612,31
santana de parnaiba,-23.473988478158542,-46.87535087264904,31
sao paulo,-23.5979505,-46.6623585,31
sao paulo,-23.48381025284207,-46.69528157314321,30
sao paulo,-23.52810085567546,-46.55822429309247,30
rio das ostras,-22.49065528354817,-41.923602344744666,30
jaguariuna,-22.675045524603085,-46.977239237698456,30
guarulhos,-23.483785075768957,-46.54155402025511,30
sao paulo,-23.531680729384323,-46.54299782292687,30
sao paulo,-23.625117000000003,-46.71994050000001,30
sao paulo,-23.643559858635008,-46.73227511352274,30
guarulhos,-23.491353968798485,-46.5428351726172,30
contagem,-19.90157010961028,-44.07488562514976,30
rio de janeiro,-23.001631583268654,-43.39337237451495,30
taboao da serra,-23.61514534554791,-46.7786674694731,30
osasco,-23.55957485068379,-46.775822017773606,30
sao paulo,-23.525509443505207,-46.73824264836392,30
sao paulo,-23.641972774078123,-46.660850564948895,30
sao paulo,-23.689300411593344,-46.70065806950787,29
sao paulo,-23.526950618068167,-46.66982314695028,29
sao paulo,-23.569747571977175,-46.65100357197719,29
sao paulo,-23.53736190148112,-46.65445004039496,29
sao paulo,-23.551946399745763,-46.5959258641528,29
sao paulo,-23.60108640244673,-46.5492777901783,29
sao paulo,-23.587888327226043,-46.73997984332621,29
taboao da serra,-23.614331051399017,-46.78001178269458,29
sao jose dos campos,-23.25777249999993,-45.82569514299996,29
sao paulo,-23.680178204541587,-46.69191023495291,29
holambra,-22.626466244163552,-47.04962779405206,29
santo andre,-23.70662219797225,-46.500337390127335,28
mogi das cruzes,-23.54748925126333,-46.23516282509048,28
salvador,-12.971804523472343,-38.43510051848935,28
campos dos goytacazes,-21.751399475987743,-41.32838036824932,28
guarulhos,-23.503853294477462,-46.55452827921402,28
rio de janeiro,-22.89257523313523,-43.21948071440933,28
osasco,-23.53314862003007,-46.76046091150642,28
nova lima,-19.979423575086685,-43.937490199901085,28
sao paulo,-23.591046185123204,-46.51073435276126,28
belo horizonte,-19.93609912552664,-44.02153909169704,28
suzano,-23.54646763188849,-46.31743880609893,28
barueri,-23.500441798582447,-46.842716327160346,28
sao paulo,-23.526908245080445,-46.65089423910785,28
sao bernardo do campo,-23.684097129323888,-46.55280016591327,28
sao paulo,-23.65110736542445,-46.75753313570026,28
sao paulo,-23.567787000000003,-46.649099250000006,28
sao paulo,-23.621399040105096,-46.60352103657811,28
sao paulo,-23.619501000000003,-46.67681249999998,28
niteroi,-22.904609279595117,-43.115126582767566,27
sao paulo,-23.638307003365984,-46.73673320995803,27
sao paulo,-23.652801714124177,-46.7682836429379,27
diadema,-23.69310537555519,-46.62071809544712,27
jundiai,-23.1850146605682,-46.97046043686786,27
sao paulo,-23.57472455453289,-46.605902285734885,27
sao paulo,-23.543369802772908,-46.73227360417187,27
ribeirao preto,-21.1748265,-47.82756149999999,27
brasilia,-15.845120615212805,-48.03090986676148,27
sao paulo,-23.4927595434244,-46.69382278282069,27
belo horizonte,-19.97551649235395,-43.97311232653354,27
osasco,-23.53390455494421,-46.76068598979643,27
nova iguacu,-22.76123282216841,-43.45473241319919,27
rio de janeiro,-22.999789477927223,-43.34752299708581,27
guarulhos,-23.435049027756925,-46.40011952262103,27
nova iguacu,-22.768425,-43.4353995,27
sao paulo,-23.584099911766224,-46.77935236121539,27
sao paulo,-23.663797446111005,-46.678596063099626,27
sao paulo,-23.466401539269448,-46.65869529017828,26
sao paulo,-23.5493922574606,-46.59300201474517,26
sao paulo,-23.68354915724768,-46.63434401577974,26
rio de janeiro,-22.963099064948917,-43.181565558428034,26
alagoinhas,-12.13944142250762,-38.42297614758382,26
pelotas,-31.76513031457981,-52.3306683932332,26
salvador,-12.947972582526088,-38.38441526085869,26
salvador,-12.940865708040718,-38.42992379195927,26
sao paulo,-23.701914,-46.68898725,26
sao paulo,-23.567194738559586,-46.64976138579832,26
diadema,-23.687857963871004,-46.61496179621314,26
guarulhos,-23.47123766166545,-46.53744764709451,26
curitiba,-25.544584966418416,-49.30352677390403,26
sao paulo,-23.468899206759733,-46.66334548043458,26
sao paulo,-23.57055394976627,-46.744693648075454,26
rio de janeiro,-22.867538484236213,-43.38188815781846,26
sao bernardo do campo,-23.738801057747697,-46.55825702512578,26
osasco,-23.51666868227537,-46.78637547810989,26
sao paulo,-23.637621164031383,-46.71906179516995,26
guarulhos,-23.478156,-46.5416505,26
rio de janeiro,-22.92044405355194,-43.23153601376288,26
sao paulo,-23.654302322522845,-46.69065605661037,26
sao paulo,-23.481059081597326,-46.64630746073055,26
sao paulo,-23.66428185651218,-46.69108104039464,25
sao paulo,-23.640077776848084,-46.71505610462239,25
sao paulo,-23.602774526227705,-46.55363287330484,25
sao paulo,-23.592801121024483,-46.54554615035181,25
sao paulo,-23.55171571357262,-46.54512703052689,25
sao paulo,-23.56168119891244,-46.50627110555333,25
sao paulo,-23.44306691199995,-46.70817499999998,25
sao paulo,-23.660507871312795,-46.6898466099226,25
sao bernardo do campo,-23.7311146777654,-46.55985059750278,25
sao jose do rio preto,-20.814445675230637,-49.33921252018795,25
sao paulo,-23.61763890592578,-46.6389807441141,25
brasilia,-15.831507404965272,-48.017061172812056,25
sao paulo,-23.516588817610888,-46.69748616726511,25
sao paulo,-23.528263515407662,-46.73017413350449,25
salvador,-13.003843499999991,-38.52839474999999,25
sao goncalo,-22.819981119937736,-43.00376427784092,25
brasilia,-15.841950421023586,-48.02139907170896,25
porto alegre,-30.03386842964012,-51.21457263280572,25
brasilia,-15.843053489167191,-48.030175344364245,25
sao paulo,-23.54175424071731,-46.71901756512136,25
sao goncalo,-22.83563512107761,-43.00989848175705,25
sao luis,-2.4891666938740107,-44.24456323891359,25
sao luis,-2.501042206708081,-44.23507616551245,25
rio de janeiro,-23.00545764365673,-43.321692789382645,25
rio de janeiro,-23.00515326747294,-43.37958056361068,25
barueri,-23.5201619156991,-46.90556733720359,25
rio de janeiro,-22.848678283410315,-43.30691910219393,24
sao goncalo,-22.825100085332497,-43.05113903033772,24
sao paulo,-23.54354994809283,-46.55013560866177,24
suzano,-23.55240670198731,-46.32587790360535,24
sao bernardo do campo,-23.674106999999943,-46.591230499999966,24
taboao da serra,-23.6192473760748,-46.76594411518264,24
braganca paulista,-22.962633441166982,-46.52341863421785,24
guarulhos,-23.45730754731953,-46.51325832361937,24
guarulhos,-23.438025566189665,-46.40000032223437,24
sao bernardo do campo,-23.73331431678664,-46.55864509401287,24
cascavel,-24.937358910772154,-53.49997086640849,24
sao paulo,-23.51867680707737,-46.6531159131789,24
sao paulo,-23.59958030169083,-46.74046628296493,24
sao paulo,-23.623238818483475,-46.7441113627446,24
sao paulo,-23.60582484595194,-46.7018385874257,24
sao paulo,-23.544951443793657,-46.68830695060298,24
sao paulo,-23.63329280322003,-46.73784151540766,24
porto alegre,-30.04632895480777,-51.13939604091186,24
sao paulo,-23.56439088842405,-46.63936270234855,24
santo andre,-23.66453740814664,-46.49108185675612,24
santana de parnaiba,-23.464784402035622,-46.85518756997456,24
rio de janeiro,-22.915108068555597,-43.56325087134292,24
taboao da serra,-23.612294462020333,-46.76578686529368,24
rio de janeiro,-22.99623046707853,-43.25622088069108,24
rio de janeiro,-23.0030955,-43.4836305,24
belo horizonte,-19.93554129854527,-43.95309116419413,24
diadema,-23.69030698612153,-46.62130305381174,24
sao paulo,-23.60648067138897,-46.52604270953325,24
sao paulo,-23.56561554825158,-46.558430710712976,24
sao paulo,-23.526225596456747,-46.73898242102839,24
curitiba,-25.496502030089324,-49.27164987178248,24
rio de janeiro,-22.96613855955321,-43.18768645879732,24
sao paulo,-23.526508568411355,-46.731702782676464,24
passo fundo,-28.25115354508371,-52.39745049297673,24
guarulhos,-23.44238589286745,-46.52134273841536,24
rio de janeiro,-22.839418929587207,-43.27308386037413,24
castanhal,-1.295270747671003,-47.92742500328391,24
sao paulo,-23.67363493259273,-46.65599164613879,24
sao paulo,-23.55575213466013,-46.67446254211961,24
sao paulo,-23.560566359426364,-46.65761042867444,24
sao paulo,-23.65604039923698,-46.762700936561,24
barueri,-23.499388624612003,-46.84841108730616,24
sao paulo,-23.58386610224309,-46.56263295227527,24
sao paulo,-23.55267310851753,-46.74507716985977,24
osasco,-23.552876222026736,-46.75871048560194,24
sao paulo,-23.542383528882805,-46.69615234684556,24
sao caetano do sul,-23.641391207757124,-46.56237121689716,23
sao paulo,-23.5846446352051,-46.54653635849762,23
sao paulo,-23.589502910352596,-46.55417194561133,23
rio de janeiro,-22.975034730509503,-43.32634456134223,23
sao paulo,-23.53294984347043,-46.7313937327312,23
sao paulo,-23.63874234192172,-46.63180247157553,23
rio de janeiro,-22.89960341494021,-43.28216862698362,23
sao paulo,-23.877859500000003,-46.659051000000005,23
sao paulo,-23.687420878152263,-46.68910837079468,23
diadema,-23.68111505299894,-46.60169082808778,23
sao bernardo do campo,-23.695010697183992,-46.58192358442555,23
sao paulo,-23.61258025200536,-46.74305806965211,23
sao paulo,-23.651639046627043,-46.74425240230249,23
sao paulo,-23.66642540233641,-46.69445002223827,23
barueri,-23.50594480724965,-46.86606876547484,23
sao paulo,-23.633015143776277,-46.70610495351717,23
taboao da serra,-23.61877003052688,-46.77025147446477,23
sao paulo,-23.57088934915458,-46.63505281418429,23
porto alegre,-30.00191787642484,-51.12065583605986,23
taboao da serra,-23.61292942853021,-46.766986071614,23
nova friburgo,-22.2835805047368,-42.53443894530584,23
nova iguacu,-22.761224033831567,-43.46063371509381,23
sao paulo,-23.56312173510022,-46.656566708353616,23
sao paulo,-23.555488240827945,-46.63559923847351,23
rio de janeiro,-22.84513642022033,-43.30716263445678,23
taboao da serra,-23.6186368642738,-46.77195857729816,23
sao paulo,-23.537290101005617,-46.6544308936015,23
osasco,-23.56267680949066,-46.80937040670384,23
barueri,-23.518515212070696,-46.89450998264022,23
sao paulo,-23.51976283426358,-46.72460218454279,23
sao paulo,-23.39846198273785,-46.75328450517242,23
brasilia,-15.813724999999948,-47.948759999999965,23
osasco,-23.559621024698508,-46.77555841020835,23
luis eduardo magalhaes,-12.139832999999946,-46.01382199999995,23
colombo,-25.365851732303263,-49.18582840154509,23
sumare,-22.82585418223501,-47.23614217099826,23
sao paulo,-23.43688878934157,-46.720828330284455,23
sao paulo,-23.54390039519827,-46.55151960480172,23
teresopolis,-22.379789300034645,-42.92663232690309,23
belo horizonte,-19.822358625327915,-43.96683340057562,23
ibia,-19.598096999999942,-46.61303299999997,23
belo horizonte,-19.93561200000001,-43.946622000000005,23
curitiba,-25.47727317456296,-49.32436710519932,23
cabo frio,-22.84201010873033,-41.9964742885281,22
sao pedro da aldeia,-22.818829916273792,-42.08965030902131,22
sao paulo,-23.534299739107848,-46.5779727124761,22
sao paulo,-23.63280320739602,-46.739237617304966,22
sao paulo,-23.51929169969415,-46.66571964308378,22
sao paulo,-23.62937952289093,-46.759941948343815,22
sao paulo,-23.64403885831761,-46.75975796382578,22
sao paulo,-23.621852242022022,-46.6036482835132,22
sao paulo,-23.60949202553521,-46.73801204440535,22
sao paulo,-23.61634162308848,-46.75439066002067,22
sao paulo,-23.62693899194992,-46.63551958312655,22
brasilia,-15.83224802491746,-48.01362883124556,22
sao paulo,-23.661066708580965,-46.6864154383693,22
goiania,-16.693725048085238,-49.277800778857326,22
feira de santana,-12.263934080776172,-38.98329396093864,22
sao paulo,-23.542127519129053,-46.7527721799693,22
rio de janeiro,-22.894691688874108,-43.23670401788917,22
santos,-23.975313088202657,-46.31902469058017,22
santana de parnaiba,-23.475584706286124,-46.835440194940304,22
santana de parnaiba,-23.46661106074958,-46.85739479085979,22
sao paulo,-23.52666051012755,-46.7315398082117,22
sao paulo,-23.56769747100232,-46.698420577990646,22
sao paulo,-23.57516623535694,-46.50207510574756,22
rio de janeiro,-22.91927432390783,-43.21059712877263,22
sao paulo,-23.45728967277395,-46.74263667707312,22
rio de janeiro,-22.897514536211027,-43.1843529970858,22
rio de janeiro,-22.999779857637517,-43.34687550000001,22
rio de janeiro,-22.912000889260764,-43.37752140605343,22
rio de janeiro,-22.993299072222737,-43.44735464945924,22
rio de janeiro,-22.972424360764293,-43.35950666877284,22
rio de janeiro,-23.00076899999999,-43.42115924999999,22
sao paulo,-23.626476974464783,-46.68538352262104,22
sao paulo,-23.67416107048883,-46.71626356549715,22
barueri,-23.48430119974695,-46.861418830410045,22
belford roxo,-22.767679590022453,-43.404434940864256,22
sao bernardo do campo,-23.685368432446605,-46.56104317976836,22
ribeirao preto,-21.22460317416279,-47.83355768826068,22
sao paulo,-23.562280655288813,-46.6477532596514,22
sao paulo,-23.528107581741555,-46.65394803649948,22
taubate,-23.026473850355806,-45.579756870455896,22
rio de janeiro,-22.96450810491085,-43.19348097408941,22
rio de janeiro,-22.86718335342593,-43.37162229867101,22
guarulhos,-23.44614999999993,-46.55426999999997,22
sao paulo,-23.646322306163764,-46.704279530282,22
barueri,-23.505967344026324,-46.86762212637944,22
sao goncalo,-22.819600986687075,-43.00235006461484,22
uberlandia,-18.955854836082363,-48.28120742418383,22
sao leopoldo,-29.79698988742664,-51.14925015381158,22
cotia,-23.59300598405365,-46.83429679955288,22
cotia,-23.624444263700656,-46.94883555820426,22
santo andre,-23.69027969840508,-46.521871781631134,22
barueri,-23.50221837443544,-46.84763601085229,22
guarulhos,-23.461861306134224,-46.498804433666095,22
niteroi,-22.905392534827957,-43.11422183628882,22
barueri,-23.494285082872555,-46.86807951197021,22
sao paulo,-23.54553384928566,-46.55301970789138,22
sao paulo,-23.530453669715538,-46.55620020996593,22
sao paulo,-23.58540069658577,-46.58427399775607,22
rio de janeiro,-22.90890476325808,-43.17826716792652,21
osasco,-23.535839005222797,-46.76346851488806,21
maua,-23.67347842248891,-46.47077761165343,21
santo andre,-23.692959476484283,-46.504557561076766,21
jundiai,-23.17965058485729,-46.90576352862229,21
brasilia,-15.747933625310187,-47.890033287668125,21
sao paulo,-23.630596987724537,-46.585844366386944,21
salvador,-12.99084593634027,-38.48749232360655,21
sao bernardo do campo,-23.71822274916581,-46.55358758458623,21
sao bernardo do campo,-23.72141973043301,-46.53310780249619,21
sao paulo,-23.55910483957529,-46.655777901206,21
sao paulo,-23.54467160343472,-46.65713680171736,21
brasilia,-15.837191999999996,-48.03224624999999,21
paulinia,-22.771742234595063,-47.09735979324383,21
cesario lange,-23.230563141401834,-47.94913842333478,21
osasco,-23.55053198529405,-46.76495134725491,21
barueri,-23.51056987231207,-46.86061571804235,21
barueri,-23.496409640874635,-46.90376882988474,21
niteroi,-22.89901376106504,-43.106746265047086,21
sao jose do rio preto,-20.78845634759468,-49.41956290374445,21
barueri,-23.497626176410996,-46.846555025662845,21
jacarei,-23.28996289924409,-45.96541122398862,21
sao paulo,-23.620253951699517,-46.76164305883207,21
sao paulo,-23.651518588954925,-46.7682715947833,21
rio de janeiro,-23.002162710802665,-43.34935300429917,21
niteroi,-22.902742801835053,-43.13502280252754,21
santo andre,-23.66535907103709,-46.5009281673496,21
brusque,-27.073586999999947,-48.90949549999996,21
rio de janeiro,-23.0043086872296,-43.32450783783356,21
sao paulo,-23.64559685068379,-46.74625170177164,21
rio de janeiro,-22.88445872023772,-43.28597330134412,21
rio de janeiro,-22.91408114285877,-43.22496619929349,21
rio de janeiro,-22.907423525390996,-43.2916668816147,21
rio de janeiro,-22.906360477927223,-43.17769425437129,21
osasco,-23.53236399720137,-46.76773272202672,21
sao paulo,-23.637402744099496,-46.63192362294426,21
rio de janeiro,-22.915411596716545,-43.21169880489348,21
sao paulo,-23.504903077990647,-46.67707049278663,21
sao paulo,-23.55155046717452,-46.60213286451429,21
sao paulo,-23.456904580068123,-46.64976420483004,21
sao paulo,-23.59363985658718,-46.76698940644304,21
sao paulo,-23.744100100187264,-46.70674982003745,21
guarulhos,-23.452598931935213,-46.432001216991765,20
curitiba,-25.461688790011426,-49.27216006195694,20
palotina,-24.2989957582558,-53.83496417939378,20
petropolis,-22.424871418901468,-43.13640460472536,20
sao bernardo do campo,-23.654308224175598,-46.59499773892209,20
guarulhos,-23.476354868168947,-46.53439462975359,20
rio de janeiro,-22.88243323896361,-43.358359086588976,20
toledo,-24.72968994426537,-53.742043512648245,20
brasilia,-15.832475819308588,-48.01033388194513,20
sao paulo,-23.555706273913376,-46.74931041523619,20
sao paulo,-23.54644456287144,-46.60552943574358,20
sao paulo,-23.604413427145243,-46.74862600833853,20
sao paulo,-23.52731184179699,-46.56137431473256,20
sao paulo,-23.546878911449102,-46.59059732445609,20
sao paulo,-23.457161242022035,-46.62052359201333,20
sao paulo,-23.51807042203993,-46.59393030272233,20
sao paulo,-23.53257143591436,-46.54970048693182,20
rio de janeiro,-22.9231595676033,-43.21349905011815,20
sao paulo,-23.58353292305826,-46.48957476496762,20
luis eduardo magalhaes,-12.089698346029763,-45.79618023024447,20
taboao da serra,-23.614793015263437,-46.76943044685208,20
sao paulo,-23.52183510257342,-46.66428988130433,20
porto alegre,-30.12003293110828,-51.22420407363752,20
sao jose dos campos,-23.233847008598342,-45.92416184055624,20
sao jose do rio preto,-20.77506553244082,-49.3482776590689,20
ferraz de vasconcelos,-23.55461742054411,-46.382393978114976,20
sao paulo,-23.530293115182623,-46.575711412862745,20
sao paulo,-23.535722137743115,-46.58499715875456,20
sao paulo,-23.53125918402669,-46.73062301653284,20
aracatuba,-21.171995711524698,-50.43555793904646,20
jacarei,-23.29276778478421,-45.95951211919135,20
praia grande,-24.016283558765817,-46.39843570349071,20
sao paulo,-23.604758999999994,-46.67024250000001,20
sao paulo,-23.672002524567016,-46.66913364026612,20
praia grande,-24.011743499999994,-46.420677,20
niteroi,-22.899419999999992,-43.09270199999999,20
bauru,-22.3588301583083,-49.05091136579618,20
sao paulo,-23.52011919677996,-46.66584000098096,20
sao paulo,-23.53216105023373,-46.58144783458363,20
salvador,-12.993246291919274,-38.48482244365087,20
chopinzinho,-25.85601873308239,-52.53039814911457,20
niteroi,-22.86230338191044,-43.095528398674695,20
bom principio,-29.48440579829424,-51.361101878416335,20
rio de janeiro,-22.90361859454293,-43.221418123593175,20
rio de janeiro,-22.93174852345776,-43.24161788510583,20
rio de janeiro,-22.825831310361117,-43.33634645886214,20
nova iguacu,-22.748203295194685,-43.44562537718087,20
itapevi,-23.536597019090816,-46.92594666096416,20
osasco,-23.54126201985983,-46.8164435553788,20
osasco,-23.55240339886872,-46.794454920624354,20
santo andre,-23.61568045268046,-46.53949402553522,20
santo andre,-23.67831357951986,-46.53726343450284,20
rio de janeiro,-22.888164614490144,-43.30414609838999,20
sao paulo,-23.66897161033521,-46.70251155358061,20
sao paulo,-23.59911552899767,-46.69898302553523,20
sao paulo,-23.612052666446743,-46.60783466642034,20
bombinhas,-27.15269608223789,-48.48647591671719,20
sao caetano do sul,-23.637070239779074,-46.5646918961284,20
sao bernardo do campo,-23.70725643558366,-46.56891892578577,20
rio de janeiro,-22.956674311414343,-43.17637742506777,20
porto alegre,-30.115135090195675,-51.225508897570656,20
barueri,-23.50445927126197,-46.84497058265231,20
sao goncalo,-22.81882615014549,-43.00159443354857,20
porto alegre,-30.05294782711191,-51.16168592909863,20
lauro de freitas,-12.867804672619783,-38.31983025892861,20
mogi das cruzes,-23.51636466631949,-46.18929981921052,20
venda nova do imigrante,-20.370656999999945,-41.13410299999995,20
jundiai,-23.18973214749978,-46.96043546750151,20
charqueadas,-29.998280999999945,-51.560035999999954,20
rio de janeiro,-22.919901841797003,-43.20860348791054,20
santo andre,-23.66291470552254,-46.52886560713256,19
santo andre,-23.635683953372943,-46.5030439200761,19
sao paulo,-23.587352685267437,-46.53320166333889,19
sao paulo,-23.647891075768943,-46.79109420635927,19
sao paulo,-23.532011454902168,-46.6536078075192,19
sao paulo,-23.560756921172626,-46.62318386802472,19
sao paulo,-23.574334452680457,-46.50181676172888,19
birigui,-21.2816132788006,-50.31011731483012,19
agua boa,-14.114873999999949,-52.46507599999997,19
osasco,-23.553154871544475,-46.76515481300087,19
guarulhos,-23.47229378351318,-46.53191371051419,19
guarulhos,-23.46030469386578,-46.53675167638062,19
guarulhos,-23.460800257618796,-46.53348532086912,19
guarulhos,-23.48441024562871,-46.550879916180975,19
sao paulo,-23.497722188181623,-46.72231478711988,19
