geolocation_lat  geolocation_lng  geolocation_city                 
-23.526226       -46.738982       sao paulo                             24
-23.555752       -46.674463       sao paulo                             24
-23.565616       -46.558431       sao paulo                             24
-23.633293       -46.737842       sao paulo                             24
-23.499389       -46.848411       barueri                               24
-23.464784       -46.855188       santana de parnaiba                   24
-23.583866       -46.562633       sao paulo                             24
-25.496502       -49.271650       curitiba                              24
-23.003096       -43.483630       rio de janeiro                        24
-23.564391       -46.639363       sao paulo                             24
-23.552876       -46.758710       osasco                                24
-22.915108       -43.563251       rio de janeiro                        24
-23.552673       -46.745077       sao paulo                             24
-30.046329       -51.139396       porto alegre                          24
-28.251154       -52.397450       passo fundo                           24
-23.612294       -46.765787       taboao da serra                       24
-23.606481       -46.526043       sao paulo                             24
-23.619247       -46.765944       taboao da serra                       24
-23.605825       -46.701839       sao paulo                             24
-23.542384       -46.696152       sao paulo                             24
-23.518677       -46.653116       sao paulo                             24
-23.674107       -46.591230       sao bernardo do campo                 24
-19.935541       -43.953091       belo horizonte                        24
-23.664537       -46.491082       santo andre                           24
-23.673635       -46.655992       sao paulo                             24
-23.442386       -46.521343       guarulhos                             24
-23.560566       -46.657610       sao paulo                             24
-22.839419       -43.273084       rio de janeiro                        24
-23.599580       -46.740466       sao paulo                             24
-23.438026       -46.400000       guarulhos                             24
-22.848678       -43.306919       rio de janeiro                        24
-22.996230       -43.256221       rio de janeiro                        24
-22.825100       -43.051139       sao goncalo                           24
-23.543550       -46.550136       sao paulo                             24
-22.962633       -46.523419       braganca paulista                     24
-24.937359       -53.499971       cascavel                              24
-23.618770       -46.770251       taboao da serra                       23
-25.477273       -49.324367       curitiba                              23
-22.899603       -43.282169       rio de janeiro                        23
-23.584645       -46.546536       sao paulo                             23
-23.687421       -46.689108       sao paulo                             23
-19.935612       -43.946622       belo horizonte                        23
-23.562677       -46.809370       osasco                                23
-25.365852       -49.185828       colombo                               23
-23.398462       -46.753285       sao paulo                             23
-23.518515       -46.894510       barueri                               23
-23.681115       -46.601691       diadema                               23
-22.283581       -42.534439       nova friburgo                         23
-23.666425       -46.694450       sao paulo                             23
-23.519763       -46.724602       sao paulo                             23
-12.139833       -46.013822       luis eduardo magalhaes                23
-23.641391       -46.562371       sao caetano do sul                    23
-23.537290       -46.654431       sao paulo                             23
-22.379789       -42.926632       teresopolis                           23
-19.598097       -46.613033       ibia                                  23
-23.612580       -46.743058       sao paulo                             23
-23.612929       -46.766986       taboao da serra                       23
-22.825854       -47.236142       sumare                                23
-30.001918       -51.120656       porto alegre                          23
-23.543900       -46.551520       sao paulo                             23
-23.651639       -46.744252       sao paulo                             23
-22.975035       -43.326345       rio de janeiro                        23
-23.532950       -46.731394       sao paulo                             23
-23.555488       -46.635599       sao paulo                             23
-23.570889       -46.635053       sao paulo                             23
-23.695011       -46.581924       sao bernardo do campo                 23
-23.633015       -46.706105       sao paulo                             23
-23.505945       -46.866069       barueri                               23
-23.638742       -46.631802       sao paulo                             23
-22.761224       -43.460634       nova iguacu                           23
-23.877860       -46.659051       sao paulo                             23
-23.589503       -46.554172       sao paulo                             23
-15.813725       -47.948760       brasilia                              23
-22.845136       -43.307163       rio de janeiro                        23
-23.559621       -46.775558       osasco                                23
-23.436889       -46.720828       sao paulo                             23
-23.563122       -46.656567       sao paulo                             23
-19.822359       -43.966833       belo horizonte                        23
-23.618637       -46.771959       taboao da serra                       23
-22.964508       -43.193481       rio de janeiro                        22
-23.626939       -46.635520       sao paulo                             22
-23.475585       -46.835440       santana de parnaiba                   22
-23.624444       -46.948836       cotia                                 22
-22.905393       -43.114222       niteroi                               22
-22.972424       -43.359507       rio de janeiro                        22
-23.661067       -46.686415       sao paulo                             22
-23.505967       -46.867622       barueri                               22
-21.224603       -47.833558       ribeirao preto                        22
-23.585401       -46.584274       sao paulo                             22
-23.494285       -46.868080       barueri                               22
-22.919274       -43.210597       rio de janeiro                        22
-22.912001       -43.377521       rio de janeiro                        22
-23.502218       -46.847636       barueri                               22
-23.975313       -46.319025       santos                                22
-23.690280       -46.521872       santo andre                           22
-23.674161       -46.716264       sao paulo                             22
-23.626477       -46.685384       sao paulo                             22
-18.955855       -48.281207       uberlandia                            22
-23.484301       -46.861419       barueri                               22
-23.530454       -46.556200       sao paulo                             22
-23.629380       -46.759942       sao paulo                             22
-22.818830       -42.089650       sao pedro da aldeia                   22
-22.767680       -43.404435       belford roxo                          22
-22.819601       -43.002350       sao goncalo                           22
-23.593006       -46.834297       cotia                                 22
-23.644039       -46.759758       sao paulo                             22
-22.993299       -43.447355       rio de janeiro                        22
-22.842010       -41.996474       cabo frio                             22
-23.446150       -46.554270       guarulhos                             22
-15.832248       -48.013629       brasilia                              22
-23.545534       -46.553020       sao paulo                             22
-23.567697       -46.698421       sao paulo                             22
-23.461861       -46.498804       guarulhos                             22
-23.466611       -46.857395       santana de parnaiba                   22
-23.526661       -46.731540       sao paulo                             22
-23.457290       -46.742637       sao paulo                             22
-23.534300       -46.577973       sao paulo                             22
-23.528108       -46.653948       sao paulo                             22
-23.621852       -46.603648       sao paulo                             22
-22.897515       -43.184353       rio de janeiro                        22
-22.894692       -43.236704       rio de janeiro                        22
-23.609492       -46.738012       sao paulo                             22
-23.026474       -45.579757       taubate                               22
-22.867183       -43.371622       rio de janeiro                        22
-23.616342       -46.754391       sao paulo                             22
-23.575166       -46.502075       sao paulo                             22
-23.542128       -46.752772       sao paulo                             22
-23.000769       -43.421159       rio de janeiro                        22
-16.693725       -49.277801       goiania                               22
-23.646322       -46.704280       sao paulo                             22
-23.562281       -46.647753       sao paulo                             22
-22.999780       -43.346876       rio de janeiro                        22
-23.685368       -46.561043       sao bernardo do campo                 22
-23.519292       -46.665720       sao paulo                             22
-23.632803       -46.739238       sao paulo                             22
-29.796990       -51.149250       sao leopoldo                          22
-12.263934       -38.983294       feira de santana                      22
-23.637403       -46.631924       sao paulo                             21
-22.907424       -43.291667       rio de janeiro                        21
-22.914081       -43.224966       rio de janeiro                        21
-23.673478       -46.470778       maua                                  21
-23.692959       -46.504558       santo andre                           21
-23.721420       -46.533108       sao bernardo do campo                 21
-27.073587       -48.909495       brusque                               21
-23.002163       -43.349353       rio de janeiro                        21
-22.884459       -43.285973       rio de janeiro                        21
-23.645597       -46.746252       sao paulo                             21
-23.620254       -46.761643       sao paulo                             21
-23.004309       -43.324508       rio de janeiro                        21
-20.788456       -49.419563       sao jose do rio preto                 21
-23.179651       -46.905764       jundiai                               21
-23.230563       -47.949138       cesario lange                         21
-23.289963       -45.965411       jacarei                               21
-15.837192       -48.032246       brasilia                              21
-23.496410       -46.903769       barueri                               21
-22.915412       -43.211699       rio de janeiro                        21
-23.559105       -46.655778       sao paulo                             21
-22.899014       -43.106746       niteroi                               21
-23.551550       -46.602133       sao paulo                             21
-23.550532       -46.764951       osasco                                21
-12.990846       -38.487492       salvador                              21
-23.497626       -46.846555       barueri                               21
-22.908905       -43.178267       rio de janeiro                        21
-23.630597       -46.585844       sao paulo                             21
-15.747934       -47.890033       brasilia                              21
-23.532364       -46.767733       osasco                                21
-22.906360       -43.177694       rio de janeiro                        21
-23.718223       -46.553588       sao bernardo do campo                 21
-23.504903       -46.677070       sao paulo                             21
-22.902743       -43.135023       niteroi                               21
-23.665359       -46.500928       santo andre                           21
-23.510570       -46.860616       barueri                               21
-23.535839       -46.763469       osasco                                21
-23.456905       -46.649764       sao paulo                             21
-23.651519       -46.768272       sao paulo                             21
-23.744100       -46.706750       sao paulo                             21
-22.771742       -47.097360       paulinia                              21
-23.593640       -46.766989       sao paulo                             21
-23.544672       -46.657137       sao paulo                             21
-23.552403       -46.794455       osasco                                20
-23.516365       -46.189300       mogi das cruzes                       20
-23.555706       -46.749310       sao paulo                             20
-12.089698       -45.796180       luis eduardo magalhaes                20
-12.867805       -38.319830       lauro de freitas                      20
-30.052948       -51.161686       porto alegre                          20
-23.604759       -46.670243       sao paulo                             20
-23.707256       -46.568919       sao bernardo do campo                 20
-29.998281       -51.560036       charqueadas                           20
-23.604413       -46.748626       sao paulo                             20
-22.888165       -43.304146       rio de janeiro                        20
-22.862303       -43.095528       niteroi                               20
-25.856019       -52.530398       chopinzinho                           20
-22.882433       -43.358359       rio de janeiro                        20
-23.536597       -46.925947       itapevi                               20
-23.672003       -46.669134       sao paulo                             20
-23.233847       -45.924162       sao jose dos campos                   20
-24.011743       -46.420677       praia grande                          20
-23.614793       -46.769430       taboao da serra                       20
-23.615680       -46.539494       santo andre                           20
-23.541262       -46.816444       osasco                                20
-20.775066       -49.348278       sao jose do rio preto                 20
-23.292768       -45.959512       jacarei                               20
-23.189732       -46.960435       jundiai                               20
-23.612053       -46.607835       sao paulo                             20
-23.518070       -46.593930       sao paulo                             20
-24.016284       -46.398436       praia grande                          20
-22.358830       -49.050911       bauru                                 20
-23.678314       -46.537263       santo andre                           20
-23.554617       -46.382394       ferraz de vasconcelos                 20
-23.521835       -46.664290       sao paulo                             20
-23.535722       -46.584997       sao paulo                             20
-21.171996       -50.435558       aracatuba                             20
-23.668972       -46.702512       sao paulo                             20
-23.532571       -46.549700       sao paulo                             20
-22.825831       -43.336346       rio de janeiro                        20
-15.832476       -48.010334       brasilia                              20
-23.532161       -46.581448       sao paulo                             20
-22.903619       -43.221418       rio de janeiro                        20
-22.956674       -43.176377       rio de janeiro                        20
-22.899420       -43.092702       niteroi                               20
-22.818826       -43.001594       sao goncalo                           20
-23.504459       -46.844971       barueri                               20
-23.527312       -46.561374       sao paulo                             20
-22.748203       -43.445625       nova iguacu                           20
-23.654308       -46.594998       sao bernardo do campo                 20
-20.370657       -41.134103       venda nova do imigrante               20
-23.452599       -46.432001       guarulhos                             20
-23.457161       -46.620524       sao paulo                             20
-23.599116       -46.698983       sao paulo                             20
-22.931749       -43.241618       rio de janeiro                        20
-24.729690       -53.742044       toledo                                20
-23.546445       -46.605529       sao paulo                             20
-23.546879       -46.590597       sao paulo                             20
-23.476355       -46.534395       guarulhos                             20
-30.120033       -51.224204       porto alegre                          20
-30.115135       -51.225509       porto alegre                          20
-23.530293       -46.575711       sao paulo                             20
-23.583533       -46.489575       sao paulo                             20
-25.461689       -49.272160       curitiba                              20
-22.923160       -43.213499       rio de janeiro                        20
-22.424871       -43.136405       petropolis                            20
-27.152696       -48.486476       bombinhas                             20
-12.993246       -38.484822       salvador                              20
-23.531259       -46.730623       sao paulo                             20
-23.637070       -46.564692       sao caetano do sul                    20
-22.919902       -43.208603       rio de janeiro                        20
-23.520119       -46.665840       sao paulo                             20
-24.298996       -53.834964       palotina                              20
-29.484406       -51.361102       bom principio                         20
-23.557636       -46.677623       sao paulo                             19
-22.576494       -41.986990       barra de sao joao                     19
-23.497722       -46.722315       sao paulo                             19
-23.488133       -46.607660       sao paulo                             19
-23.583103       -46.689767       sao paulo                             19
-19.876278       -43.915047       belo horizonte                        19
-23.635684       -46.503044       santo andre                           19
-18.871872       -48.234452       uberlandia                            19
-23.460305       -46.536752       guarulhos                             19
-23.671603       -46.466365       maua                                  19
-23.532011       -46.653608       sao paulo                             19
-16.632597       -49.253996       goiania                               19
-23.563883       -46.785731       osasco                                19
-23.540113       -47.472086       sorocaba                              19
-23.585503       -46.768626       sao paulo                             19
-23.484410       -46.550880       guarulhos                             19
-23.587353       -46.533202       sao paulo                             19
-23.472294       -46.531914       guarulhos                             19
-23.553155       -46.765155       osasco                                19
-23.576817       -46.604265       sao paulo                             19
-19.862397       -43.958024       belo horizonte                        19
-23.662915       -46.528866       santo andre                           19
-23.484015       -46.695371       sao paulo                             19
-23.476674       -46.544623       guarulhos                             19
-23.594095       -46.607743       sao paulo                             19
-23.452073       -46.497026       guarulhos                             19
-23.570764       -48.018547       itapetininga                          19
-22.839364       -43.273180       rio de janeiro                        19
-23.524131       -46.702000       sao paulo                             19
-15.843093       -47.822252       brasilia                              19
-30.184999       -51.174717       porto alegre                          19
-22.847641       -43.236285       rio de janeiro                        19
-21.765364       -41.283092       campos dos goytacazes                 19
-25.430272       -49.266603       curitiba                              19
-23.697683       -46.523692       santo andre                           19
-23.574334       -46.501817       sao paulo                             19
-23.460800       -46.533485       guarulhos                             19
-23.462204       -46.546557       guarulhos                             19
-23.970070       -46.386130       sao vicente                           19
-14.114874       -52.465076       agua boa                              19
-22.940774       -43.650200       rio de janeiro                        19
-21.281613       -50.310117       birigui                               19
-22.883737       -43.279446       rio de janeiro                        19
-20.264203       -40.271017       vitoria                               19
-23.609316       -46.875306       cotia                                 19
-22.943759       -43.365771       rio de janeiro                        19
-16.700259       -49.241375       goiania                               19
-22.983871       -43.211651       rio de janeiro                        19
-22.957532       -43.184032       rio de janeiro                        19
-12.941478       -38.418885       salvador                              19
-23.636080       -46.713686       sao paulo                             19
-12.262515       -38.983535       feira de santana                      19
-23.560757       -46.623184       sao paulo                             19
-29.169576       -51.164853       caxias do sul                         19
-5.832148        -35.223124       natal                                 19
-16.714214       -49.267997       goiania                               19
-21.539280       -41.155662       sao francisco de itabapoana           19
-23.284310       -46.874161       cajamar                               19
-15.842882       -48.023478       brasilia                              19
-23.525509       -46.680240       sao paulo                             19
-23.647891       -46.791094       sao paulo                             19
-21.188765       -47.769871       ribeirao preto                        19
-23.686753       -46.616415       diadema                               18
-23.689775       -46.635322       diadema                               18
-23.716679       -46.542026       sao bernardo do campo                 18
-23.638504       -46.503564       santo andre                           18
-23.583555       -46.777990       sao paulo                             18
-15.610516       -56.031709       cuiaba                                18
-23.479928       -46.636988       sao paulo                             18
-23.462597       -46.335317       itaquaquecetuba                       18
-23.473521       -46.541677       guarulhos                             18
-23.552593       -46.743353       sao paulo                             18
-20.026830       -40.742808       santa maria de jetiba                 18
-23.626629       -46.604408       sao paulo                             18
-23.431482       -46.506413       guarulhos                             18
-23.431280       -46.537373       guarulhos                             18
-23.522106       -46.733945       sao paulo                             18
-23.573794       -46.736940       sao paulo                             18
-22.851882       -43.543493       rio de janeiro                        18
-3.085097        -60.003401       manaus                                18
-22.827951       -43.320159       rio de janeiro                        18
-23.464066       -46.534699       guarulhos                             18
-23.516497       -46.566852       sao paulo                             18
