geolocation_city                   geolocation_lat  geolocation_lng
sao paulo                          -23.690783       -46.699866          34
                                   -23.619326       -46.700109          34
rio de janeiro                     -22.850413       -43.313808          34
guarulhos                          -23.448829       -46.548266          34
sao paulo                          -23.546081       -46.644820          34
                                   -23.527040       -46.474421          34
                                   -23.585302       -46.765730          34
                                   -23.534811       -46.681020          34
sao bernardo do campo              -23.688917       -46.552552          34
taboao da serra                    -23.609786       -46.757401          33
cotia                              -23.621550       -46.926833          33
rio de janeiro                     -22.883009       -43.343405          33
casa nova                          -9.179158        -40.970131          33
sao paulo                          -23.555602       -46.737597          33
                                   -23.690464       -46.678134          33
rio de janeiro                     -22.913349       -43.222789          33
brasilia                           -15.832335       -48.038802          33
rio de janeiro                     -23.009198       -43.429461          33
ferraz de vasconcelos              -23.531737       -46.392345          33
sao paulo                          -23.504336       -46.636140          33
goiania                            -16.709082       -49.264949          33
rio de janeiro                     -22.904357       -43.175095          33
sao paulo                          -23.480185       -46.644398          32
sao jose do vale do rio preto      -22.164643       -42.938176          32
sao jose do rio preto              -20.773647       -49.349700          32
sao paulo                          -23.500402       -46.723678          32
niteroi                            -22.907604       -43.063508          32
alta floresta                      -10.026615       -56.478900          32
osasco                             -23.509648       -46.784630          32
rio de janeiro                     -22.906590       -43.177138          32
osasco                             -23.515672       -46.802895          32
sao paulo                          -23.663362       -46.682048          32
rio de janeiro                     -22.927726       -43.179373          32
sao paulo                          -23.468541       -46.664361          32
niteroi                            -22.863459       -43.097422          31
sao paulo                          -23.669701       -46.676377          31
                                   -23.579053       -46.769004          31
rio de janeiro                     -22.931927       -43.246650          31
                                   -22.840242       -43.275470          31
                                   -23.010481       -43.332041          31
sao paulo                          -23.624704       -46.586391          31
barueri                            -23.510525       -46.861046          31
curitiba                           -25.436333       -49.240560          31
sao paulo                          -23.660297       -46.679511          31
                                   -23.601201       -46.549088          31
sao jose do rio preto              -20.866535       -49.413325          31
rio de janeiro                     -22.996689       -43.348304          31
                                   -23.003736       -43.321841          31
santo andre                        -23.694704       -46.511497          31
                                   -23.699180       -46.524017          31
santana de parnaiba                -23.473988       -46.875351          31
sao paulo                          -23.597950       -46.662359          31
                                   -23.483810       -46.695282          30
                                   -23.528101       -46.558224          30
rio das ostras                     -22.490655       -41.923602          30
jaguariuna                         -22.675046       -46.977239          30
guarulhos                          -23.483785       -46.541554          30
sao paulo                          -23.531681       -46.542998          30
                                   -23.625117       -46.719941          30
                                   -23.643560       -46.732275          30
guarulhos                          -23.491354       -46.542835          30
contagem                           -19.901570       -44.074886          30
rio de janeiro                     -23.001632       -43.393372          30
taboao da serra                    -23.615145       -46.778667          30
osasco                             -23.559575       -46.775822          30
sao paulo                          -23.525509       -46.738243          30
                                   -23.641973       -46.660851          30
                                   -23.689300       -46.700658          29
                                   -23.526951       -46.669823          29
                                   -23.569748       -46.651004          29
                                   -23.537362       -46.654450          29
                                   -23.551946       -46.595926          29
                                   -23.601086       -46.549278          29
                                   -23.587888       -46.739980          29
taboao da serra                    -23.614331       -46.780012          29
sao jose dos campos                -23.257772       -45.825695          29
sao paulo                          -23.680178       -46.691910          29
holambra                           -22.626466       -47.049628          29
santo andre                        -23.706622       -46.500337          28
mogi das cruzes                    -23.547489       -46.235163          28
salvador                           -12.971805       -38.435101          28
campos dos goytacazes              -21.751399       -41.328380          28
guarulhos                          -23.503853       -46.554528          28
rio de janeiro                     -22.892575       -43.219481          28
osasco                             -23.533149       -46.760461          28
nova lima                          -19.979424       -43.937490          28
sao paulo                          -23.591046       -46.510734          28
belo horizonte                     -19.936099       -44.021539          28
suzano                             -23.546468       -46.317439          28
barueri                            -23.500442       -46.842716          28
sao paulo                          -23.526908       -46.650894          28
sao bernardo do campo              -23.684097       -46.552800          28
sao paulo                          -23.651107       -46.757533          28
                                   -23.567787       -46.649099          28
                                   -23.621399       -46.603521          28
                                   -23.619501       -46.676812          28
niteroi                            -22.904609       -43.115127          27
sao paulo                          -23.638307       -46.736733          27
                                   -23.652802       -46.768284          27
diadema                            -23.693105       -46.620718          27
jundiai                            -23.185015       -46.970460          27
sao paulo                          -23.574725       -46.605902          27
                                   -23.543370       -46.732274          27
ribeirao preto                     -21.174827       -47.827561          27
brasilia                           -15.845121       -48.030910          27
sao paulo                          -23.492760       -46.693823          27
belo horizonte                     -19.975516       -43.973112          27
osasco                             -23.533905       -46.760686          27
nova iguacu                        -22.761233       -43.454732          27
rio de janeiro                     -22.999789       -43.347523          27
guarulhos                          -23.435049       -46.400120          27
nova iguacu                        -22.768425       -43.435400          27
sao paulo                          -23.584100       -46.779352          27
                                   -23.663797       -46.678596          27
                                   -23.466402       -46.658695          26
                                   -23.549392       -46.593002          26
                                   -23.683549       -46.634344          26
rio de janeiro                     -22.963099       -43.181566          26
alagoinhas                         -12.139441       -38.422976          26
pelotas                            -31.765130       -52.330668          26
salvador                           -12.947973       -38.384415          26
                                   -12.940866       -38.429924          26
sao paulo                          -23.701914       -46.688987          26
                                   -23.567195       -46.649761          26
diadema                            -23.687858       -46.614962          26
guarulhos                          -23.471238       -46.537448          26
curitiba                           -25.544585       -49.303527          26
sao paulo                          -23.468899       -46.663345          26
                                   -23.570554       -46.744694          26
rio de janeiro                     -22.867538       -43.381888          26
sao bernardo do campo              -23.738801       -46.558257          26
osasco                             -23.516669       -46.786375          26
sao paulo                          -23.637621       -46.719062          26
guarulhos                          -23.478156       -46.541651          26
rio de janeiro                     -22.920444       -43.231536          26
sao paulo                          -23.654302       -46.690656          26
                                   -23.481059       -46.646307          26
                                   -23.664282       -46.691081          25
                                   -23.640078       -46.715056          25
                                   -23.602775       -46.553633          25
                                   -23.592801       -46.545546          25
                                   -23.551716       -46.545127          25
                                   -23.561681       -46.506271          25
                                   -23.443067       -46.708175          25
                                   -23.660508       -46.689847          25
sao bernardo do campo              -23.731115       -46.559851          25
sao jose do rio preto              -20.814446       -49.339213          25
sao paulo                          -23.617639       -46.638981          25
brasilia                           -15.831507       -48.017061          25
sao paulo                          -23.516589       -46.697486          25
                                   -23.528264       -46.730174          25
salvador                           -13.003843       -38.528395          25
sao goncalo                        -22.819981       -43.003764          25
brasilia                           -15.841950       -48.021399          25
porto alegre                       -30.033868       -51.214573          25
brasilia                           -15.843053       -48.030175          25
sao paulo                          -23.541754       -46.719018          25
sao goncalo                        -22.835635       -43.009898          25
sao luis                           -2.489167        -44.244563          25
                                   -2.501042        -44.235076          25
rio de janeiro                     -23.005458       -43.321693          25
                                   -23.005153       -43.379581          25
barueri                            -23.520162       -46.905567          25
rio de janeiro                     -22.848678       -43.306919          24
sao goncalo                        -22.825100       -43.051139          24
sao paulo                          -23.543550       -46.550136          24
suzano                             -23.552407       -46.325878          24
sao bernardo do campo              -23.674107       -46.591230          24
taboao da serra                    -23.619247       -46.765944          24
braganca paulista                  -22.962633       -46.523419          24
guarulhos                          -23.457308       -46.513258          24
                                   -23.438026       -46.400000          24
sao bernardo do campo              -23.733314       -46.558645          24
cascavel                           -24.937359       -53.499971          24
sao paulo                          -23.518677       -46.653116          24
                                   -23.599580       -46.740466          24
                                   -23.623239       -46.744111          24
                                   -23.605825       -46.701839          24
                                   -23.544951       -46.688307          24
                                   -23.633293       -46.737842          24
porto alegre                       -30.046329       -51.139396          24
sao paulo                          -23.564391       -46.639363          24
santo andre                        -23.664537       -46.491082          24
santana de parnaiba                -23.464784       -46.855188          24
rio de janeiro                     -22.915108       -43.563251          24
taboao da serra                    -23.612294       -46.765787          24
rio de janeiro                     -22.996230       -43.256221          24
                                   -23.003096       -43.483630          24
belo horizonte                     -19.935541       -43.953091          24
diadema                            -23.690307       -46.621303          24
sao paulo                          -23.606481       -46.526043          24
                                   -23.565616       -46.558431          24
                                   -23.526226       -46.738982          24
curitiba                           -25.496502       -49.271650          24
rio de janeiro                     -22.966139       -43.187686          24
sao paulo                          -23.526509       -46.731703          24
passo fundo                        -28.251154       -52.397450          24
guarulhos                          -23.442386       -46.521343          24
rio de janeiro                     -22.839419       -43.273084          24
castanhal                          -1.295271        -47.927425          24
sao paulo                          -23.673635       -46.655992          24
                                   -23.555752       -46.674463          24
                                   -23.560566       -46.657610          24
                                   -23.656040       -46.762701          24
barueri                            -23.499389       -46.848411          24
sao paulo                          -23.583866       -46.562633          24
                                   -23.552673       -46.745077          24
osasco                             -23.552876       -46.758710          24
sao paulo                          -23.542384       -46.696152          24
sao caetano do sul                 -23.641391       -46.562371          23
sao paulo                          -23.584645       -46.546536          23
                                   -23.589503       -46.554172          23
rio de janeiro                     -22.975035       -43.326345          23
sao paulo                          -23.532950       -46.731394          23
                                   -23.638742       -46.631802          23
rio de janeiro                     -22.899603       -43.282169          23
sao paulo                          -23.877860       -46.659051          23
                                   -23.687421       -46.689108          23
diadema                            -23.681115       -46.601691          23
sao bernardo do campo              -23.695011       -46.581924          23
sao paulo                          -23.612580       -46.743058          23
                                   -23.651639       -46.744252          23
                                   -23.666425       -46.694450          23
barueri                            -23.505945       -46.866069          23
sao paulo                          -23.633015       -46.706105          23
taboao da serra                    -23.618770       -46.770251          23
sao paulo                          -23.570889       -46.635053          23
porto alegre                       -30.001918       -51.120656          23
taboao da serra                    -23.612929       -46.766986          23
nova friburgo                      -22.283581       -42.534439          23
nova iguacu                        -22.761224       -43.460634          23
sao paulo                          -23.563122       -46.656567          23
                                   -23.555488       -46.635599          23
rio de janeiro                     -22.845136       -43.307163          23
taboao da serra                    -23.618637       -46.771959          23
sao paulo                          -23.537290       -46.654431          23
osasco                             -23.562677       -46.809370          23
barueri                            -23.518515       -46.894510          23
sao paulo                          -23.519763       -46.724602          23
                                   -23.398462       -46.753285          23
brasilia                           -15.813725       -47.948760          23
osasco                             -23.559621       -46.775558          23
luis eduardo magalhaes             -12.139833       -46.013822          23
colombo                            -25.365852       -49.185828          23
sumare                             -22.825854       -47.236142          23
sao paulo                          -23.436889       -46.720828          23
                                   -23.543900       -46.551520          23
teresopolis                        -22.379789       -42.926632          23
belo horizonte                     -19.822359       -43.966833          23
ibia                               -19.598097       -46.613033          23
belo horizonte                     -19.935612       -43.946622          23
curitiba                           -25.477273       -49.324367          23
cabo frio                          -22.842010       -41.996474          22
sao pedro da aldeia                -22.818830       -42.089650          22
sao paulo                          -23.534300       -46.577973          22
                                   -23.632803       -46.739238          22
                                   -23.519292       -46.665720          22
                                   -23.629380       -46.759942          22
                                   -23.644039       -46.759758          22
                                   -23.621852       -46.603648          22
                                   -23.609492       -46.738012          22
                                   -23.616342       -46.754391          22
                                   -23.626939       -46.635520          22
brasilia                           -15.832248       -48.013629          22
sao paulo                          -23.661067       -46.686415          22
goiania                            -16.693725       -49.277801          22
feira de santana                   -12.263934       -38.983294          22
sao paulo                          -23.542128       -46.752772          22
rio de janeiro                     -22.894692       -43.236704          22
santos                             -23.975313       -46.319025          22
santana de parnaiba                -23.475585       -46.835440          22
                                   -23.466611       -46.857395          22
sao paulo                          -23.526661       -46.731540          22
                                   -23.567697       -46.698421          22
                                   -23.575166       -46.502075          22
rio de janeiro                     -22.919274       -43.210597          22
sao paulo                          -23.457290       -46.742637          22
rio de janeiro                     -22.897515       -43.184353          22
                                   -22.999780       -43.346876          22
                                   -22.912001       -43.377521          22
                                   -22.993299       -43.447355          22
                                   -22.972424       -43.359507          22
                                   -23.000769       -43.421159          22
sao paulo                          -23.626477       -46.685384          22
                                   -23.674161       -46.716264          22
barueri                            -23.484301       -46.861419          22
belford roxo                       -22.767680       -43.404435          22
sao bernardo do campo              -23.685368       -46.561043          22
ribeirao preto                     -21.224603       -47.833558          22
sao paulo                          -23.562281       -46.647753          22
                                   -23.528108       -46.653948          22
taubate                            -23.026474       -45.579757          22
rio de janeiro                     -22.964508       -43.193481          22
                                   -22.867183       -43.371622          22
guarulhos                          -23.446150       -46.554270          22
sao paulo                          -23.646322       -46.704280          22
barueri                            -23.505967       -46.867622          22
sao goncalo                        -22.819601       -43.002350          22
uberlandia                         -18.955855       -48.281207          22
sao leopoldo                       -29.796990       -51.149250          22
cotia                              -23.593006       -46.834297          22
                                   -23.624444       -46.948836          22
santo andre                        -23.690280       -46.521872          22
barueri                            -23.502218       -46.847636          22
guarulhos                          -23.461861       -46.498804          22
niteroi                            -22.905393       -43.114222          22
barueri                            -23.494285       -46.868080          22
sao paulo                          -23.545534       -46.553020          22
                                   -23.530454       -46.556200          22
                                   -23.585401       -46.584274          22
rio de janeiro                     -22.908905       -43.178267          21
osasco                             -23.535839       -46.763469          21
maua                               -23.673478       -46.470778          21
santo andre                        -23.692959       -46.504558          21
jundiai                            -23.179651       -46.905764          21
brasilia                           -15.747934       -47.890033          21
sao paulo                          -23.630597       -46.585844          21
salvador                           -12.990846       -38.487492          21
sao bernardo do campo              -23.718223       -46.553588          21
                                   -23.721420       -46.533108          21
sao paulo                          -23.559105       -46.655778          21
                                   -23.544672       -46.657137          21
brasilia                           -15.837192       -48.032246          21
paulinia                           -22.771742       -47.097360          21
cesario lange                      -23.230563       -47.949138          21
osasco                             -23.550532       -46.764951          21
barueri                            -23.510570       -46.860616          21
                                   -23.496410       -46.903769          21
niteroi                            -22.899014       -43.106746          21
sao jose do rio preto              -20.788456       -49.419563          21
barueri                            -23.497626       -46.846555          21
jacarei                            -23.289963       -45.965411          21
sao paulo                          -23.620254       -46.761643          21
                                   -23.651519       -46.768272          21
rio de janeiro                     -23.002163       -43.349353          21
niteroi                            -22.902743       -43.135023          21
santo andre                        -23.665359       -46.500928          21
brusque                            -27.073587       -48.909495          21
rio de janeiro                     -23.004309       -43.324508          21
sao paulo                          -23.645597       -46.746252          21
rio de janeiro                     -22.884459       -43.285973          21
                                   -22.914081       -43.224966          21
                                   -22.907424       -43.291667          21
                                   -22.906360       -43.177694          21
osasco                             -23.532364       -46.767733          21
sao paulo                          -23.637403       -46.631924          21
rio de janeiro                     -22.915412       -43.211699          21
sao paulo                          -23.504903       -46.677070          21
                                   -23.551550       -46.602133          21
                                   -23.456905       -46.649764          21
                                   -23.593640       -46.766989          21
                                   -23.744100       -46.706750          21
guarulhos                          -23.452599       -46.432001          20
curitiba                           -25.461689       -49.272160          20
palotina                           -24.298996       -53.834964          20
petropolis                         -22.424871       -43.136405          20
sao bernardo do campo              -23.654308       -46.594998          20
guarulhos                          -23.476355       -46.534395          20
rio de janeiro                     -22.882433       -43.358359          20
toledo                             -24.729690       -53.742044          20
brasilia                           -15.832476       -48.010334          20
sao paulo                          -23.555706       -46.749310          20
                                   -23.546445       -46.605529          20
                                   -23.604413       -46.748626          20
                                   -23.527312       -46.561374          20
                                   -23.546879       -46.590597          20
                                   -23.457161       -46.620524          20
                                   -23.518070       -46.593930          20
                                   -23.532571       -46.549700          20
rio de janeiro                     -22.923160       -43.213499          20
sao paulo                          -23.583533       -46.489575          20
luis eduardo magalhaes             -12.089698       -45.796180          20
taboao da serra                    -23.614793       -46.769430          20
sao paulo                          -23.521835       -46.664290          20
porto alegre                       -30.120033       -51.224204          20
sao jose dos campos                -23.233847       -45.924162          20
sao jose do rio preto              -20.775066       -49.348278          20
ferraz de vasconcelos              -23.554617       -46.382394          20
sao paulo                          -23.530293       -46.575711          20
                                   -23.535722       -46.584997          20
                                   -23.531259       -46.730623          20
aracatuba                          -21.171996       -50.435558          20
jacarei                            -23.292768       -45.959512          20
praia grande                       -24.016284       -46.398436          20
sao paulo                          -23.604759       -46.670243          20
                                   -23.672003       -46.669134          20
praia grande                       -24.011743       -46.420677          20
niteroi                            -22.899420       -43.092702          20
bauru                              -22.358830       -49.050911          20
sao paulo                          -23.520119       -46.665840          20
                                   -23.532161       -46.581448          20
salvador                           -12.993246       -38.484822          20
chopinzinho                        -25.856019       -52.530398          20
niteroi                            -22.862303       -43.095528          20
bom principio                      -29.484406       -51.361102          20
rio de janeiro                     -22.903619       -43.221418          20
                                   -22.931749       -43.241618          20
                                   -22.825831       -43.336346          20
nova iguacu                        -22.748203       -43.445625          20
itapevi                            -23.536597       -46.925947          20
osasco                             -23.541262       -46.816444          20
                                   -23.552403       -46.794455          20
santo andre                        -23.615680       -46.539494          20
                                   -23.678314       -46.537263          20
rio de janeiro                     -22.888165       -43.304146          20
sao paulo                          -23.668972       -46.702512          20
                                   -23.599116       -46.698983          20
                                   -23.612053       -46.607835          20
bombinhas                          -27.152696       -48.486476          20
sao caetano do sul                 -23.637070       -46.564692          20
sao bernardo do campo              -23.707256       -46.568919          20
rio de janeiro                     -22.956674       -43.176377          20
porto alegre                       -30.115135       -51.225509          20
barueri                            -23.504459       -46.844971          20
sao goncalo                        -22.818826       -43.001594          20
porto alegre                       -30.052948       -51.161686          20
lauro de freitas                   -12.867805       -38.319830          20
mogi das cruzes                    -23.516365       -46.189300          20
venda nova do imigrante            -20.370657       -41.134103          20
jundiai                            -23.189732       -46.960435          20
charqueadas                        -29.998281       -51.560036          20
rio de janeiro                     -22.919902       -43.208603          20
santo andre                        -23.662915       -46.528866          19
                                   -23.635684       -46.503044          19
sao paulo                          -23.587353       -46.533202          19
                                   -23.647891       -46.791094          19
                                   -23.532011       -46.653608          19
                                   -23.560757       -46.623184          19
                                   -23.574334       -46.501817          19
birigui                            -21.281613       -50.310117          19
agua boa                           -14.114874       -52.465076          19
osasco                             -23.553155       -46.765155          19
guarulhos                          -23.472294       -46.531914          19
                                   -23.460305       -46.536752          19
                                   -23.460800       -46.533485          19
                                   -23.484410       -46.550880          19
sao paulo                          -23.497722       -46.722315          19
                                   -23.484015       -46.695371          19
                                   -23.576817       -46.604265          19
                                   -23.583103       -46.689767          19
rio de janeiro                     -22.839364       -43.273180          19
sorocaba                           -23.540113       -47.472086          19
sao paulo                          -23.525509       -46.680240          19
                                   -23.524131       -46.702000          19
natal                              -5.832148        -35.223124          19
rio de janeiro                     -22.943759       -43.365771          19
sao paulo                          -23.557636       -46.677623          19
                                   -23.636080       -46.713686          19
brasilia                           -15.843093       -47.822252          19
                                   -15.842882       -48.023478          19
campos dos goytacazes              -21.765364       -41.283092          19
rio de janeiro                     -22.883737       -43.279446          19
cajamar                            -23.284310       -46.874161          19
sao paulo                          -23.585503       -46.768626          19
                                   -23.488133       -46.607660          19
                                   -23.594095       -46.607743          19
salvador                           -12.941478       -38.418885          19
goiania                            -16.714214       -49.267997          19
uberlandia                         -18.871872       -48.234452          19
caxias do sul                      -29.169576       -51.164853          19
santo andre                        -23.697683       -46.523692          19
guarulhos                          -23.452073       -46.497026          19
sao vicente                        -23.970070       -46.386130          19
barra de sao joao                  -22.576494       -41.986990          19
itapetininga                       -23.570764       -48.018547          19
curitiba                           -25.430272       -49.266603          19
goiania                            -16.700259       -49.241375          19
ribeirao preto                     -21.188765       -47.769871          19
osasco                             -23.563883       -46.785731          19
guarulhos                          -23.462204       -46.546557          19
belo horizonte                     -19.862397       -43.958024          19
guarulhos                          -23.476674       -46.544623          19
feira de santana                   -12.262515       -38.983535          19
belo horizonte                     -19.876278       -43.915047          19
rio de janeiro                     -22.847641       -43.236285          19
vitoria                            -20.264203       -40.271017          19
rio de janeiro                     -22.940774       -43.650200          19
sao francisco de itabapoana        -21.539280       -41.155662          19
cotia                              -23.609316       -46.875306          19
porto alegre                       -30.184999       -51.174717          19
goiania                            -16.632597       -49.253996          19
maua                               -23.671603       -46.466365          19
rio de janeiro                     -22.957532       -43.184032          19
                                   -22.983871       -43.211651          19
sao bernardo do campo              -23.716679       -46.542026          18
cuiaba                             -15.610516       -56.031709          18
sao paulo                          -23.500877       -46.723080          18
                                   -23.563199       -46.565926          18
sao bernardo do campo              -23.695548       -46.581805          18
manaus                             -3.085097        -60.003401          18
mogi mirim                         -22.410053       -46.972765          18
sao paulo                          -23.531813       -46.582694          18
                                   -23.541384       -46.614049          18
santo andre                        -23.638504       -46.503564          18
sao luis                           -2.589795        -44.207525          18
rio de janeiro                     -22.978914       -43.190435          18
                                   -22.827951       -43.320159          18
                                   -22.897347       -43.180708          18
santa maria de jetiba              -20.026830       -40.742808          18
paranaita                          -9.710976        -56.676450          18
fortaleza                          -3.743506        -38.484067          18
niteroi                            -22.896422       -43.112316          18
sao paulo                          -23.583555       -46.777990          18
sao caetano do sul                 -23.643467       -46.575870          18
                                   -23.618112       -46.570293          18
